STUDENTNUMBER,COURSE_CD,COURSE_TITLE,COURSE_VERSION,COURSE_ATTEMPT_STATUS,MODE,TYPE,ORG_UNIT_CD,COMMENCEMENT_DT,ENROLLED_CURRENT_TP,ENROLLED_YR,STUDENT_TYPE,CREDIT_POINTS_REQUIRED,ADVANCED STANDING CP,COMPLETED_CREDIT_POINTS,OUTSTANDING_POINTS,Course Location,Completed Units,Adv Stnd Units,Unit Sets (Completed),Unit Sets (Non-Completed)
BA2,BA,Bachelor of Arts,17,ENROLLED,OL,PT,S0004,43528,Yes,Yes,Domestic,144,12,18,126,ARMIDALE,WRIT101 TRI-3 2021 OL,"CRIM101 
HASS100 ",,"CRIM002.2 N Criminology (Major)
PAIS001.4 N Political and International Studies (Major)
PSYCHO011.2 N Psychology (Minor)"
BA3,BA,Bachelor of Arts,17,ENROLLED,OL,FT,S0004,44375,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"ANHIST011.4 N Ancient History (Minor)
PSYCHO011.3 N Psychology (Minor)"
BA4,BA,Bachelor of Arts,17,ENROLLED,OL,PT,S0004,44375,Yes,Yes,Domestic,144,0,18,126,ARMIDALE,"JAPN202 TRI-2 2021 OL
JAPN235 TRI-2 2021 OL
SPAN101 TRI-3 2021 OL",,,"JAPANE001.5 N Japanese (Major)
SPANISH011.3 N Spanish (Minor)"
BA5,BA,Bachelor of Arts,17,ENROLLED,OL,FT,S0004,44226,Yes,Yes,Domestic,144,60,66,78,ARMIDALE,WRIT102 TRI-2 2021 OL,"AFM340 
CRIM244 
CRIM302 
CRIM308 
CRIM324 
CRIM334 
PEAC304 
PEAC352 
SOCY354 
SOCY374 ",,WRITIN001.8 N Writing (Major)
BA6,BA,Bachelor of Arts,17,ENROLLED,OL,PT,S0004,44494,Yes,Yes,Domestic,144,0,6,138,ARMIDALE,AFM103 TRI-3 2021 OL,,,CHINES001.5 N Chinese (Major)
BA7,BA,Bachelor of Arts,17,ENROLLED,OL,PT,S0004,44375,Yes,Yes,Domestic,144,0,18,126,ARMIDALE,"ARPA107 TRI-2 2021 OL
WRIT102 TRI-2 2021 OL
ENGL103 TRI-3 2021 OL",,,AUSHIS001.8 N Australian History (Major)
BA8,BA,Bachelor of Arts,17,INACTIVE,OL,FT,S0004,44259,No,Yes,Domestic,144,18,24,120,ARMIDALE,EDEE100 TRI-2 2021 OL,"COMM1XX06 
ENGL101 
THEA111 ",,
BA9,BA,Bachelor of Arts,17,INACTIVE,OL,PT,S0004,44257,No,No,Domestic,144,0,6,138,ARMIDALE,HIST150 TRI-1 2021 OL,,,HISTOR001.9 N History (Major)
BA10,BA,Bachelor of Arts,17,ENROLLED,ON,FT,S0004,44375,Yes,Yes,Domestic,144,0,18,126,ARMIDALE,"ANCH109 TRI-2 2021 ON
HASS100 TRI-2 2021 ON
ARPA100 TRI-3 2021 OL",,,ANHIST001.8 N Ancient History (Major)
BA11,BA,Bachelor of Arts,17,INACTIVE,OL,FT,S0004,37676,No,Yes,Domestic,144,0,36,108,ARMIDALE,"LING101 SEM-1 2004 OF
LING250 SEM-1 2006 OF
LING102 SEM-2 2006 OF
LING353 SEM-2 2010 OL
FREN201 TRI-1 2013 OF
FREN203 TRI-1 2013 OF",,,"FRENCH001.7 N French (Major)
LINGUI001.3 N Linguistics"
BA12,BA,Bachelor of Arts,17,ENROLLED,OL,PT,S0004,44379,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"HASS100 TRI-2 2021 OL
WRIT101 TRI-3 2021 OL",,,ARCH012.4 N Archaeology (Extended Major)
BA13,BA,Bachelor of Arts,17,ENROLLED,OL,PT,S0004,44494,Yes,Yes,Domestic,144,0,24,120,ARMIDALE,"PSYC101 TRI-3 2021 OL
PSYC102 TRI-3 2021 OL
PSYC200 TRI-3 2021 OL
PSYC202 TRI-3 2021 OL",,,"PSYCHO011.3 N Psychology (Minor)
SOCIOL001.7 N Sociology (Major)"
BA14,BA,Bachelor of Arts,17,INACTIVE,OL,FT,S0004,44251,No,No,Domestic,144,0,0,144,ARMIDALE,,,,HISTOR012.5 N History (Extended Major)
