STUDENTNUMBER,COURSE_CD,COURSE_TITLE,COURSE_VERSION,COURSE_ATTEMPT_STATUS,MODE,TYPE,ORG_UNIT_CD,COMMENCEMENT_DT,ENROLLED_CURRENT_TP,ENROLLED_YR,STUDENT_TYPE,CREDIT_POINTS_REQUIRED,ADVANCED STANDING CP,COMPLETED_CREDIT_POINTS,OUTSTANDING_POINTS,Course Location,Completed Units,Adv Stnd Units,Unit Sets (Completed),Unit Sets (Non-Completed)
BCOMP2,BCOMP,Bachelor of Computer Science,15,INACTIVE,ON,FT,S0008,6/28/2021,No,No,International,144,0,0,144,ARMIDALE,,,,
BCOMP3,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,PT,S0008,6/28/2021,Yes,Yes,International,144,6,24,120,ARMIDALE,"AMTH140 TRI-2 2021 OL
ICT100 TRI-3 2021 OL
ICT101 TRI-3 2021 OL",COSC110 ,,DATASC001.3 N Data Science
BCOMP4,BCOMP,Bachelor of Computer Science,15,ENROLLED,ON,FT,S0008,6/28/2021,Yes,Yes,International,144,0,24,120,ARMIDALE,"COSC110 TRI-2 2021 ON
MTHS110 TRI-2 2021 ON
WRIT102 TRI-2 2021 OL
ICT100 TRI-3 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP5,BCOMP,Bachelor of Computer Science,15,ENROLLED,ON,FT,S0008,1/30/2021,Yes,Yes,International,144,0,42,102,ARMIDALE,"COSC101 TRI-1 2021 OL
COSC110 TRI-1 2021 OL
COSC102 TRI-2 2021 ON
COSC120 TRI-2 2021 ON
MTHS110 TRI-2 2021 ON
ICT100 TRI-3 2021 OL
WRIT101 TRI-3 2021 OL",,,SOFTDEV002.5 N Software Development
BCOMP6,BCOMP,Bachelor of Computer Science,15,INACTIVE,ON,FT,S0008,3/8/2021,No,No,International,144,0,0,144,ARMIDALE,,,,SOFTDEV002.5 N Software Development
BCOMP7,BCOMP,Bachelor of Computer Science,15,ENROLLED,OL,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,54,90,ARMIDALE,"COSC101 TRI-1 2021 OL
COSC110 TRI-1 2021 OL
MTHS120 TRI-1 2021 OL
PSYC101 TRI-1 2021 OL
AMTH140 TRI-2 2021 OL
COSC120 TRI-2 2021 OL
COSC260 TRI-2 2021 OL
STAT100 TRI-2 2021 OL
AFM103 TRI-3 2021 OL",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP8,BCOMP,Bachelor of Computer Science,15,INACTIVE,ON,FT,S0008,1/30/2021,No,No,Domestic,144,0,18,126,ARMIDALE,"COSC101 TRI-1 2021 OL
MTHS110 TRI-1 2021 OL
THEA134 TRI-1 2021 ON",,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
BCOMP9,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,1/30/2021,No,No,Domestic,144,0,6,138,ARMIDALE,COSC110 TRI-1 2021 OL,,,SOFTDEV002.5 N Software Development
BCOMP10,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,FT,S0008,2/4/2021,No,No,Domestic,144,18,18,126,ARMIDALE,,"COSC110 
ICT100 
ICT101 ",,SOFTDEV002.5 N Software Development
BCOMP11,BCOMP,Bachelor of Computer Science,15,INACTIVE,OL,PT,S0008,6/28/2021,No,No,Domestic,144,0,6,138,ARMIDALE,COSC110 TRI-2 2021 OL,,,"DATASC001.3 N Data Science
SOFTDEV002.5 N Software Development"
