STUDENTNUMBER,COURSE_CD,COURSE_TITLE,COURSE_VERSION,COURSE_ATTEMPT_STATUS,MODE,TYPE,ORG_UNIT_CD,COMMENCEMENT_DT,ENROLLED_CURRENT_TP,ENROLLED_YR,STUDENT_TYPE,CREDIT_POINTS_REQUIRED,ADVANCED STANDING CP,COMPLETED_CREDIT_POINTS,OUTSTANDING_POINTS,Course Location,Completed Units,Adv Stnd Units,Unit Sets (Completed),Unit Sets (Non-Completed)
BN2,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,0,60,84,ARMIDALE,"HHSC111 TRI-1 2021 ON
HLTH101 TRI-1 2021 ON
HSNS170 TRI-1 2021 ON
HSNS171 TRI-1 2021 ON
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HSNS263 TRI-3 2021 ON
HSNS264 TRI-3 2021 ON",,,
BN3,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,48,48,96,ARMIDALE,,NMBA48 ,,
BN4,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN5,BN04,Bachelor of Nursing,8,INACTIVE,ON,FT,S0003,3/5/2021,No,No,International,144,0,12,132,ARMIDALE,"HHSC111 TRI-1 2021 OL
HLTH101 TRI-1 2021 OL",,,
BN6,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
BN7,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/24/2021,Yes,Yes,International,144,0,72,72,ARMIDALE,"HHSC111 TRI-1 2021 ON
HLTH101 TRI-1 2021 ON
HSNS170 TRI-1 2021 ON
HSNS171 TRI-1 2021 ON
HHSC112 TRI-2 2021 OL
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HLTH102 TRI-3 2021 OL
HSNS263 TRI-3 2021 ON
HSNS264 TRI-3 2021 ON
HSNS370 TRI-3 2021 OL",,,
BN8,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN9,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,0,72,72,ARMIDALE,"PSYC101 TRI-1 2021 OL
HLTH101 TRI-1 2021 OL
HSNS170 TRI-1 2021 OL
HSNS171 TRI-1 2021 OL
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HLTH102 TRI-3 2021 OL
HSNS263 TRI-3 2021 OL
HSNS264 TRI-3 2021 ON
HSNS370 TRI-3 2021 OL",,,
BN10,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN11,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN12,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,5/28/2022,No,No,International,144,42,42,102,ARMIDALE,,BACHI42 ,,
BN13,BN04,Bachelor of Nursing,8,INACTIVE,ON,FT,S0003,2/26/2021,No,No,International,144,48,84,60,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS264 TRI-1 2021 ON
HSNS273 TRI-2 2021 ON
PHAR222 TRI-1 2021 OL
HSNS263 TRI-3 2021 OL
HSNS310 TRI-3 2021 OL",NMBA48 ,,
BN14,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,3/2/2021,Yes,Yes,International,144,0,72,72,ARMIDALE,"HHSC111 TRI-1 2021 ON
HLTH101 TRI-1 2021 ON
HSNS170 TRI-1 2021 ON
HSNS171 TRI-1 2021 ON
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 OL
HLTH104 TRI-2 2021 OL
HSNS173 TRI-2 2021 ON
HLTH102 TRI-3 2021 OL
HSNS263 TRI-3 2021 ON
HSNS264 TRI-3 2021 ON
HSNS310 TRI-3 2021 OL",,,
BN15,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,3/3/2021,Yes,Yes,International,144,0,66,78,ARMIDALE,"HHSC111 TRI-1 2021 OL
HLTH101 TRI-1 2021 OL
HSNS170 TRI-1 2021 OL
HSNS171 TRI-1 2021 OL
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HLTH102 TRI-3 2021 OL
HSNS264 TRI-3 2021 ON
HSNS370 TRI-3 2021 OL",,,
BN16,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,3/3/2021,Yes,Yes,International,144,0,60,84,ARMIDALE,"HHSC111 TRI-1 2021 OL
HLTH101 TRI-1 2021 OL
HSNS170 TRI-1 2021 OL
HSNS171 TRI-1 2021 OL
HHSC112 TRI-2 2021 OL
HLTH103 TRI-2 2021 OL
HLTH104 TRI-2 2021 OL
HLTH102 TRI-3 2021 OL
HSNS264 TRI-3 2021 OL
HSNS370 TRI-3 2021 OL",,,
BN17,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,48,48,96,ARMIDALE,,NMBA48 ,,
BN18,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,1/30/2021,Yes,Yes,International,144,0,48,96,ARMIDALE,"HHSC111 TRI-1 2021 OL
HLTH101 TRI-1 2021 OL
HSNS170 TRI-1 2021 OL
HSNS171 TRI-1 2021 OL
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON",,,
BN19,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/26/2021,Yes,Yes,International,144,0,72,72,ARMIDALE,"HHSC111 TRI-1 2021 OL
HLTH101 TRI-1 2021 OL
HSNS170 TRI-1 2021 OL
HSNS171 TRI-1 2021 OL
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HSNS173 TRI-2 2021 ON
HLTH102 TRI-3 2021 OL
HSNS263 TRI-3 2021 ON
HSNS264 TRI-3 2021 ON
HSNS370 TRI-3 2021 OL",,,
BN20,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/25/2021,Yes,Yes,International,144,48,96,48,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS310 TRI-1 2021 ON
HSNS270 TRI-2 2021 ON
HSNS273 TRI-2 2021 ON
HSNS263 TRI-3 2021 ON
HSNS264 TRI-3 2021 ON
HSNS363 TRI-3 2021 OL
HSNS370 TRI-3 2021 OL",NMBA48 ,,
BN21,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN22,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,42,102,UNESYDNEY,,BACHI42 ,,
BN23,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
BN24,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN25,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN26,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
BN27,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN28,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,10/25/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-3 2021 ON,BACHI42 ,,
BN29,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,2/10/2021,Yes,Yes,International,144,0,60,84,ARMIDALE,"HHSC111 TRI-1 2021 ON
HLTH101 TRI-1 2021 ON
HSNS170 TRI-1 2021 ON
HSNS171 TRI-1 2021 ON
HHSC112 TRI-2 2021 ON
HLTH103 TRI-2 2021 ON
HLTH104 TRI-2 2021 ON
HLTH102 TRI-3 2021 OL
HSNS263 TRI-3 2021 ON
HSNS264 TRI-3 2021 ON",,,
BN30,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,UNESYDNEY,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN31,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,48,48,96,ARMIDALE,,NMBA48 ,,
BN32,BN04,Bachelor of Nursing,8,INACTIVE,ON,FT,S0003,2/24/2021,No,No,International,144,0,12,132,ARMIDALE,"HLTH101 TRI-1 2021 ON
HSNS170 TRI-1 2021 ON",,,
BN33,BN04,Bachelor of Nursing,8,INACTIVE,ON,FT,S0003,3/5/2021,No,No,International,144,0,0,144,ARMIDALE,,,,
BN34,BN04,Bachelor of Nursing,9,ENROLLED,ON,FT,S0003,1/29/2022,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
BN35,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,54,90,ARMIDALE,HSNS207 TRI-2 2021 ON,BACHI42 ,,
BN36,BN04,Bachelor of Nursing,8,INTERMIT,ON,FT,S0003,6/28/2021,No,No,International,144,42,42,102,UNESYDNEY,,BACHI42 ,,
BN37,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,42,42,102,UNESYDNEY,,BACHI42 ,,
BN38,BN04,Bachelor of Nursing,8,ENROLLED,ON,FT,S0003,6/28/2021,Yes,Yes,International,144,48,48,96,UNESYDNEY,,"BACHI42 
HSNS374 ",,
