STUDENTNUMBER,COURSE_CD,COURSE_TITLE,COURSE_VERSION,COURSE_ATTEMPT_STATUS,MODE,TYPE,ORG_UNIT_CD,COMMENCEMENT_DT,ENROLLED_CURRENT_TP,ENROLLED_YR,STUDENT_TYPE,CREDIT_POINTS_REQUIRED,ADVANCED STANDING CP,COMPLETED_CREDIT_POINTS,OUTSTANDING_POINTS,Course Location,Completed Units,Adv Stnd Units,Unit Sets (Completed),Unit Sets (Non-Completed)
BSC2,BSC,Bachelor of Science,16,ENROLLED,ON,FT,S0008,1/29/2022,Yes,Yes,International,144,0,0,144,ARMIDALE,,,,
BSC3,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,2/23/2015,Yes,Yes,Domestic,144,0,6,138,ARMIDALE,PSIO110 TRI-1 2016 OF,,,"MEDCHEM001.1 N Medicinal Chemistry
NEUROSC001.1 N Neuroscience
PHYSIM002.8 N Physiology (Major)"
BSC4,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,24,120,ARMIDALE,"BIOL110 TRI-1 2021 OL
MTHS100 TRI-1 2021 OL
MTHS110 TRI-2 2021 OL
STAT100 TRI-3 2021 OL",,,GENETM001.6 N Genetics (Major)
BSC5,BSC,Bachelor of Science,15,INACTIVE,OL,PT,S0008,10/25/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,
BSC6,BSC,Bachelor of Science,16,INACTIVE,OL,FT,S0008,3/5/2018,No,Yes,Domestic,144,18,18,126,ARMIDALE,,"AFM242 
MM203 
QM161 ",,"APPHYS001.7 N Applied Physics (Major)
BUS001.1 N Business (Minor)
MATHSM001.6 N Mathematics (Major)"
BSC7,BSC,Bachelor of Science,15,ENROLLED,ON,FT,S0008,1/30/2021,Yes,Yes,Domestic,144,0,48,96,ARMIDALE,"BIOL110 TRI-1 2021 ON
CHEM110 TRI-1 2021 ON
MTHS110 TRI-1 2021 ON
PSIO110 TRI-1 2021 ON
BIOL120 TRI-2 2021 ON
CHEM120 TRI-2 2021 ON
PHAR120 TRI-2 2021 ON
STAT100 TRI-2 2021 ON",,,BICHTEC001.2 N Biochemistry/Biotechnology (Major)
BSC8,BSC,Bachelor of Science,16,ENROLLED,OL,FT,S0008,11/5/2018,Yes,Yes,Domestic,144,0,12,132,ARMIDALE,"MTHS110 TRI-2 2020 OL
PSIO120 TRI-2 2020 OL",,,"APPHYS001.5 N Applied Physics (Major)
FORSC001.6 N Forensic Science (Major)"
BSC9,BSC,Bachelor of Science,16,ENROLLED,ON,FT,S0008,2/2/2022,Yes,Yes,Domestic,144,30,30,114,ARMIDALE,,"BIOL110 
MTHS110 
PSIO110 
PSIO120 
STAT100 ",,GENETM001.6 N Genetics (Major)
BSC10,BSC,Bachelor of Science,16,ENROLLED,OL,PT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,"ARCHGY001.6 N Archaeology (Major)
BIODIV002.5 N Biodiversity (Major)"
BSC11,BSC,Bachelor of Science,15,ENROLLED,OL,PT,S0008,2/26/2021,Yes,Yes,Domestic,144,114,138,6,ARMIDALE,"NEUR331 TRI-1 2021 OL
BCHM210 TRI-1 2021 OL
PSIO332 TRI-2 2021 OL
STAT100 TRI-2 2021 OL","BCHM210 
CHEM110 
CHEM120 
CHEM250 
HLTH100 
MICR220 
MTHS110 
PHAR120 
PHAR200 
PHAR210 
PHAR222 
PHAR260 
PHAR330 
PHAR340 
PHAR370 
PSIO110 
PSIO120 
PSIO230 
PSIO335 ",,PHYSIM002.7 N Physiology (Major)
BSC12,BSC,Bachelor of Science,15,INACTIVE,OL,FT,S0008,1/30/2021,No,No,Domestic,144,0,0,144,ARMIDALE,,,,
BSC13,BSC,Bachelor of Science,16,ENROLLED,OL,FT,S0008,1/29/2022,Yes,Yes,Domestic,144,0,0,144,ARMIDALE,,,,MATHSM001.7 N Mathematics (Major)
