Core, Core, 123, null, 12
HASS100, 6 CP, 123, null, Foundations of Academic Research
HASS101, 6 CP, 123, null, Controversies: Foundations of Critical Social Analysis
WRIT101, 6 CP, 123, null, The Craft of Academic Writing
ANHIST001 , Ancient History, 123, null, 48
Prescribed, Prescribed, 123, null, 12
ANCH109, 6 CP, 123, null, "Of Gods, Heroes and Monsters: Foundation Myths of Antiquity"
ANCH110, 6 CP, 123, null, Introduction to Ancient Greece
ANCH111, 6 CP, 123, null, Introduction to Ancient Rome
Listed, Listed, 123, null, 36
ANCH305, 6 CP, 123, null, Greek Democracy and its Enemies
ANCH307, 6 CP, 123, null, Alexander the Great and the Hellenistic World
ANCH312, 6 CP, 123, null, Rome of the Caesars
ANCH313, 6 CP, 123, null, Augustus and the Roman Revolution
ANCH315, 6 CP, 123, null, The Shadow of Vesuvius: Pompeii and Herculaneum
ANCH322, 6 CP, 123, null, Bronze Age Greece and the Aegean
ANCH326, 6 CP, 123, null, The Art and Architecture of the Ancient World
ANCH328, 6 CP, 123, null, Towns and Cities of the Ancient World
RELS388, 6 CP, 123, null, The Pagan Religions of Ancient Greece and Rome
ARCH001 , Archaeology, 123, null, 48
Prescribed, Prescribed, 123, null, 18
ARPA100, 6 CP, 123, null, Great Excavations: Key Discoveries in Archaeology
ARPA104, 6 CP, 123, null, Archaeology: Principles and Practices
ARPA300, 6 CP, 123, null, "Debates in Archaeology: Theory, Ethics, Practice"
Listed, Listed, 123, null, 30
ARPA301, 6 CP, 123, null, Maritime Archaeology
ARPA302, 6 CP, 123, null, Aboriginal Archaeology
ARPA306, 6 CP, 123, null, Historical and Contemporary Archaeology
ARPA310, 6 CP, 123, null, From Bread to Wine: The Archaeology of Food
ARPA311, 6 CP, 123, null, First Farmers: Understanding the Neolithic Revolution in the Ancient Near East
ARPA313, 6 CP, 123, null, "Palaces, Temples, Towns and Tombs: The Bronze Age in the Ancient Near East"
ARPA314, 6 CP, 123, null, Human Evolution and Archaeology
ARPA315, 6 CP, 123, null, Beyond the Grave: Archaeology of Death and Human Osteology
HINQ302, 6 CP, 123, null, Researching the Past in the Digital Age
AUSHIS001 , Australian History, 123, null, 48
Prescribed, Prescribed, 123, null, 18
HINQ100, 6 CP, 123, null, What is History?
HIST150, 6 CP, 123, null, Colonial Australia
HIST151, 6 CP, 123, null, Modern Australia
Listed_1, Listed_1, 123, null, 18
HIST329, 6 CP, 123, null, Australia and the World: An International History
HIST331, 6 CP, 123, null, War and Australian Society in the 20th Century
HIST354, 6 CP, 123, null, Aboriginal History Since the Late 18th Century
Listed_2, Listed_2, 123, null, 12
HIST310, 6 CP, 123, null, "Being Bad: Sinners, Crooks, Deviants and Psychos"
HIST333, 6 CP, 123, null, "Waking the Dead: Death, Burials and Memorials"
HIST338, 6 CP, 123, null, Australian Frontiers: Rural and Regional Histories
HIST351, 6 CP, 123, null, Convict Australia
HIST373, 6 CP, 123, null, "Australian Architecture, Buildings and Lifestyles, 1788-1988"
HIST376, 6 CP, 123, null, Oral History
AUSSTUD001 , Australian Studies, 123, null, 48
Prescribed, Prescribed, 123, null, 18
HIST151, 6 CP, 123, null, Modern Australia
SOCY100, 6 CP, 123, null, Introduction to Sociology
SOCY350, 6 CP, 123, null, Australian Studies
Listed, Listed, 123, null, 30
COMM385, 6 CP, 123, null, Australian Screens
ENGL372, 6 CP, 123, null, Australia and Oceania in Literature
PAIS370, 6 CP, 123, null, Contemporary Political Issues
SOCY332, 6 CP, 123, null, Popular Culture
THEA317, 6 CP, 123, null, Australian Theatre
CHINES001 , Chinese, 123, null, 48
Prescribed, Prescribed, 123, null, 24
CHIN101, 6 CP, 123, null, Chinese Language 1A
CHIN102, 6 CP, 123, null, Chinese Language 1B
CHIN201, 6 CP, 123, null, Chinese Language 2A
CHIN202, 6 CP, 123, null, Chinese Language 2B
CHIN304, 6 CP, 123, null, Chinese Language 3A
CHIN305, 6 CP, 123, null, Intermediate Chinese: Listening
Listed, Listed, 123, null, 12
CHIN211, 6 CP, 123, null, Chinese Calligraphy
CHIN310, 6 CP, 123, null, Advanced Chinese: Writing
CHIN350, 6 CP, 123, null, Social Culture in Chinese Reading I
CHIN370, 6 CP, 123, null, Social Culture in Chinese Reading II
CHIN410, 6 CP, 123, null, Advanced Chinese: Writing
CLASLA001, Classical Languages, 123, null, 48
Listed, Listed, 123, null, 48
CLLA101, 6 CP, 123, null, Introduction to Classical Languages
CLLA102, 6 CP, 123, null, Classical Languages Through Reading
CLLA201, 6 CP, 123, null, Intermediate Classical Languages
CLLA202, 6 CP, 123, null, Intermediate Classical Texts
CLLA301, 6 CP, 123, null, Advanced Classical Languages
CLLA302, 6 CP, 123, null, Advanced Classical Texts
CLLA303, 6 CP, 123, null, Classical Prose Texts
CLLA304, 6 CP, 123, null, Classical Verse Texts
COMDEV001, Community Development, 123, null, 48
Prescribed, Prescribed, 123, null, 30
LING150, 6 CP, 123, null, Communicating in Culturally Diverse Contexts
PAIS101, 6 CP, 123, null, Introduction to Politics
SOCY100, 6 CP, 123, null, Introduction to Sociology
SOCY110, 6 CP, 123, null, Thinking Sociologically
SOCY360, 6 CP, 123, null, Power and Inequality
Listed, Listed, 123, null, 18
GEPL321, 6 CP, 123, null, "Population, Health and Environment"
GEPL345, 6 CP, 123, null, Regional Development: Processes and Policies
GEPL350, 6 CP, 123, null, Transport and Land Use Planning
PAIS323, 6 CP, 123, null, Indigenous Business and Community Development
SOCY350, 6 CP, 123, null, Australian Studies
COMPLAN001 , Community Planning, 123, null, 48
Prescribed, Prescribed, 123, null, 30
GEPL111, 6 CP, 123, null, Earth in Crisis?
GEPL112, 6 CP, 123, null, Where in the World? Australia's Human Geography
GEPL122, 6 CP, 123, null, Introduction to Plan Making
OORA200, 6 CP, 123, null, Working with Aboriginal People
GEPL361, 6 CP, 123, null, Community Planning and Participation
Listed, Listed, 123, null, 18
GEPL315, 6 CP, 123, null, "Uncertainty, Science and Policy-Making"
GEPL316, 6 CP, 123, null, Urban Living
GEPL322, 6 CP, 123, null, Cradle to Grave: Population Geography
GEPL328, 6 CP, 123, null, Planning Theory and Practice
GEPL338, 6 CP, 123, null, Understanding Research
GEPL370, 6 CP, 123, null, Place-making for People and the Environment
SOCY313, 6 CP, 123, null, Australian Social and Public Policy
CRIMSOC001 , Crime and Society, 123, null, 48
Prescribed, Prescribed, 123, null, 30
CRIM104, 6 CP, 123, null, Deviance
CRIM190, 6 CP, 123, null, Crime in Rural Communities
CRIM201, 6 CP, 123, null, Researching Crime
CRIM244, 6 CP, 123, null, Criminological Perspectives
CRIM312, 6 CP, 123, null, Professional Practice in Criminology
Listed, Listed, 123, null, 18
CRIM100, 6 CP, 123, null, Understanding Crime
CRIM108, 6 CP, 123, null, "Drugs, Alcohol and Crime"
CRIM206, 6 CP, 123, null, Equity and Justice?
CRIM233, 6 CP, 123, null, Serial Killers: Panic or Intrigue?
CRIM294, 6 CP, 123, null, Transnational and Organised Crime
CRIM303, 6 CP, 123, null, "Crime, Media and Popular Culture"
HIST310, 6 CP, 123, null, "Being Bad: Sinners, Crooks, Deviants and Psychos"
CRIMJUS011 , Criminal Justice, 123, null, 48
Prescribed, Prescribed, 123, null, 30
CRIM100, 6 CP, 123, null, Understanding Crime
CRIM101, 6 CP, 123, null, The Criminal Justice System
CRIM201, 6 CP, 123, null, Researching Crime
CRIM244, 6 CP, 123, null, Criminological Perspectives
CRIM312, 6 CP, 123, null, Professional Practice in Criminology
Listed, Listed, 123, null, 18
CRIM107, 6 CP, 123, null, Victimology
CRIM190, 6 CP, 123, null, Crime in Rural Communities
CRIM234, 6 CP, 123, null, Crime Prevention
CRIM304, 6 CP, 123, null, Forensic Criminology
CRIM305, 6 CP, 123, null, Working with Offenders
CRIM314, 6 CP, 123, null, Policing and Social Control
CRIM324, 6 CP, 123, null, Prisons and Punishment
CULTHER001 , Cultural Heritage, 123, null, 48
Prescribed, Prescribed, 123, null, 36
ARPA104, 6 CP, 123, null, Archaeology: Principles and Practices
ARPA352, 6 CP, 123, null, Public Archaeology and Cultural Heritage Management
HINQ100, 6 CP, 123, null, What is History?
HINQ301, 6 CP, 123, null, Indigenous Heritage Management
HINQ302, 6 CP, 123, null, Researching the Past in the Digital Age
HIST335, 6 CP, 123, null, Heritage Conservation
Listed, Listed, 123, null, 12
ANCH315, 6 CP, 123, null, The Shadow of Vesuvius: Pompeii and Herculaneum
ARPA343, 6 CP, 123, null, Archaeology in the Field
HIST316, 6 CP, 123, null, Historical Tourism and Interpretation
HIST337, 6 CP, 123, null, History and Museums
HIST373, 6 CP, 123, null, "Australian Architecture, Buildings and Lifestyles, 1788-1988"
OORA200, 6 CP, 123, null, Working with Aboriginal People
ENVIFUT001 , Environmental Futures, 123, null, 48
Prescribed, Prescribed, 123, null, 18
GEPL111, 6 CP, 123, null, Earth in Crisis?
GEPL112, 6 CP, 123, null, Where in the World? Australia's Human Geography
GEPL312, 6 CP, 123, null, Integrated Research Project in Geographical Sciences
Listed, Listed, 123, null, 30
ENGL382, 6 CP, 123, null, Literature and the Environment
GEPL307, 6 CP, 123, null, Climate Change and Future Planning
GEPL308, 6 CP, 123, null, Environmental Change in Australia
GEPL309, 6 CP, 123, null, Natural Hazards
GEPL311, 6 CP, 123, null, Catchment to Coast
PEAC304, 6 CP, 123, null, Peace Through Environmental Security
RSNR303, 6 CP, 123, null, Sustainable Land Management
FRENCH001 , French, 123, null, 48
Prescribed, Prescribed, 123, null, 36
FREN101, 6 CP, 123, null, French Language 1A
FREN102, 6 CP, 123, null, French Language 1B
FREN201, 6 CP, 123, null, French Language 2A
FREN202, 6 CP, 123, null, French Language 2B
FREN301, 6 CP, 123, null, French Language 3A
FREN302, 6 CP, 123, null, French Language 3B
Listed_1, Listed_1, 123, null, 12
FREN204, 6 CP, 123, null, French Through Contemporary Culture
FREN206, 6 CP, 123, null, French Cinema
Listed_2, Listed_2, 123, null, 12
FREN306, 6 CP, 123, null, Women in French Texts
FREN307, 6 CP, 123, null, Modernity Through French Literature and Visual Culture
GENSTUD001 , Gender Studies, 123, null, 48
Prescribed, Prescribed, 123, null, 12
SOCY100, 6 CP, 123, null, Introduction to Sociology
SOCY120, 6 CP, 123, null, Introduction to Gender Theory
Listed, Listed, 123, null, 36
COMM389, 6 CP, 123, null, Human Rights on Screen
ENGL351, 6 CP, 123, null, Victorian Literature and Culture
RELS385, 6 CP, 123, null, "Women, Gender and the World's Religions"
