],
"Core_1" : [  6,
{ "Code" :  "AMTH140", "CP" : "6", "TriAvail" : "2", "Prereq" : "null", "Name" : "Discrete Mathematics"},
{ "Code" :  "COSC110", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Introduction to Programming and the UNIX Environment"},
{ "Code" :  "COSC120", "CP" : "6", "TriAvail" : "12", "Prereq" : "null", "Name" : "Object Oriented Programming"},
{ "Code" :  "COSC210", "CP" : "6", "TriAvail" : "1", "Prereq" : "null", "Name" : "Database Management Systems"},
{ "Code" :  "COSC220", "CP" : "6", "TriAvail" : "2", "Prereq" : "null", "Name" : "Software Development Studio 2"},
{ "Code" :  "COSC230", "CP" : "6", "TriAvail" : "1", "Prereq" : "null", "Name" : "Data Structures and Algorithms"},
{ "Code" :  "COSC240", "CP" : "6", "TriAvail" : "2", "Prereq" : "null", "Name" : "Operating Systems"},
{ "Code" :  "COSC310", "CP" : "6", "TriAvail" : "1", "Prereq" : "null", "Name" : "Software Project Management"},
{ "Code" :  "COSC320", "CP" : "6", "TriAvail" : "12", "Prereq" : "null", "Name" : "Information Technology Project"},
{ "Code" :  "MTHS120", "CP" : "6", "TriAvail" : "12", "Prereq" : "null", "Name" : "Calculus and Linear Algebra 1"},
],
"Core_2" : [  6,
{ "Code" :  "COSC101", "CP" : "6", "TriAvail" : "2", "Prereq" : "null", "Name" : "Software Development Studio 1"},
{ "Code" :  "COSC101", "CP" : "6", "TriAvail" : "1", "Prereq" : "null", "Name" : "Data Science Studio 1"},
],
"Core_3" : [  6,
{ "Code" :  "MTHS130", "CP" : "6", "TriAvail" : "23", "Prereq" : "null", "Name" : "Calculus and Linear Algebra 2"},
{ "Code" :  "STAT100", "CP" : "6", "TriAvail" : "23", "Prereq" : "null", "Name" : "Introduction to Statistical Modelling"},
],
"Major" : [  6,
{ "Code" :  "Software_Development", "CP" : "", "TriAvail" : "", "Prereq" : "", "Name" : ""},
],
"Prescribed_1" : [  6,
{ "Code" :  "COSC250", "CP" : "6", "TriAvail" : "1", "Prereq" : "null", "Name" : "Programming Paradigms"},
{ "Code" :  "COSC260", "CP" : "6", "TriAvail" : "2", "Prereq" : "null", "Name" : "Web Programming"},
],
"Prescribed_2" : [  6,
{ "Code" :  "COSC330", "CP" : "6", "TriAvail" : "2", "Prereq" : "null", "Name" : "Parallel and Distributed Computing"},
{ "Code" :  "COSC340", "CP" : "6", "TriAvail" : "1", "Prereq" : "null", "Name" : "Computer Networks and Information Security"},
{ "Code" :  "COSC350", "CP" : "6", "TriAvail" : "2", "Prereq" : "null", "Name" : "Artificial Intelligence"},
{ "Code" :  "COSC360", "CP" : "6", "TriAvail" : "2", "Prereq" : "null", "Name" : "Advanced Web Programming"},
{ "Code" :  "COSC370", "CP" : "6", "TriAvail" : "1", "Prereq" : "null", "Name" : "User Experience and Interaction Design"},
],
"Listed" : [  6,
{ "Code" :  "AFM101", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Introduction to Financial Accounting"},
{ "Code" :  "AFM112", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Introduction to Management Accounting"},
{ "Code" :  "AFM211", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Intermediate Financial Accounting"},
{ "Code" :  "AFM231", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Corporate Finance"},
{ "Code" :  "AFM242", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Financial Instruments and Markets"},
{ "Code" :  "AFM305", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Advanced Financial Accounting"},
{ "Code" :  "AFM319", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Auditing"},
{ "Code" :  "AFM322", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Small Business Finance"},
{ "Code" :  "BIOL110", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Biology I"},
{ "Code" :  "BIOL120", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Biology II"},
{ "Code" :  "GENE210", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Introductory Genetics"},
{ "Code" :  "GENE251/351", "CP" : "6", "TriAvail" : "123", "Prereq" : "null", "Name" : "Introduction to Breeding and Genetics"},
